evidence_group,Task ID,Occupation (O*NET-SOC Title),Task,task_group_vi,quality_critical_task,code_acceleration_potential,quality_risk_need,agent_recommendation
Tiềm năng tăng tốc code cao,14661,Software Quality Assurance Analysts and Testers,"Perform initial debugging procedures by reviewing configuration files, logs, or code pieces to determine breakdown source.",Kiểm thử / QA / review,True,0.9864616022523107,,Cần thêm dữ liệu
Tiềm năng tăng tốc code cao,14677,Computer Systems Engineers/Architects,"Investigate system component suitability for specified purposes, and make recommendations regarding component use.",Kiến trúc / quản trị,True,0.980701548568747,,Cần thêm dữ liệu
Tiềm năng tăng tốc code cao,7380,Operations Research Analysts,"Perform validation and testing of models to ensure adequacy, and reformulate models, as necessary.",Kiểm thử / QA / review,True,0.9338338808071327,,Cần thêm dữ liệu
Tiềm năng tăng tốc code cao,7382,Operations Research Analysts,"Define data requirements, and gather and validate information, applying judgment and statistical tests.",Kiểm thử / QA / review,True,0.926208352885969,,Cần thêm dữ liệu
Tiềm năng tăng tốc code cao,7377,Operations Research Analysts,"Formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters.",Kiến trúc / quản trị,False,0.9238336506637774,,Cần thêm dữ liệu
Tiềm năng tăng tốc code cao,7385,Operations Research Analysts,"Break systems into their components, assign numerical values to each component, and examine the mathematical relationships between them.",Kiến trúc / quản trị,False,0.9148287189113091,,Cần thêm dữ liệu
Tiềm năng tăng tốc code cao,17716,Bioinformatics Technicians,Maintain awareness of new and emerging computational methods and technologies.,Task CS khác,False,0.9072031909901455,,Cần thêm dữ liệu
Tiềm năng tăng tốc code cao,14763,Web Administrators,Develop testing routines and procedures.,Kiểm thử / QA / review,True,0.9066752698263725,,Cần thêm dữ liệu
Nhu cầu kiểm soát chất lượng cao,1319,Network and Computer Systems Administrators,"Plan, coordinate, and implement network security measures to protect data, software, and hardware.",Kiểm thử / QA / review,True,0.6919581252582233,0.843930776236413,"Con người dẫn dắt, AI hỗ trợ"
Nhu cầu kiểm soát chất lượng cao,1317,Network and Computer Systems Administrators,Perform data backups and disaster recovery operations.,Kiến trúc / quản trị,True,0.6502907342926753,0.8320231532833631,"Con người dẫn dắt, AI hỗ trợ"
Nhu cầu kiểm soát chất lượng cao,16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,Task CS khác,False,0.7828417015554643,0.7785815322734251,Copilot + review bắt buộc
Nhu cầu kiểm soát chất lượng cao,19002,Computer Network Support Specialists,Troubleshoot network or connectivity problems for users or user groups.,Kiểm thử / QA / review,True,0.4229398330897247,0.7608959422732489,"Con người dẫn dắt, AI hỗ trợ"
Nhu cầu kiểm soát chất lượng cao,7368,Mathematicians,Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.,Sinh code / phát triển,False,0.6164432814675493,0.7368645371664178,"Con người dẫn dắt, AI hỗ trợ"
Nhu cầu kiểm soát chất lượng cao,16274,Clinical Data Managers,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",Task CS khác,False,0.7810152890501377,0.7143104333427768,Copilot + review bắt buộc
Nhu cầu kiểm soát chất lượng cao,16209,Video Game Designers,"Develop and maintain design level documentation, including mechanics, guidelines, and mission outlines.",Sinh code / phát triển,False,0.4801115143436525,0.6960374381173262,"Con người dẫn dắt, AI hỗ trợ"
Nhu cầu kiểm soát chất lượng cao,1272,Computer Programmers,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",Sinh code / phát triển,False,0.7210173571105819,0.6820409898186696,"Con người dẫn dắt, AI hỗ trợ"
Nên dùng copilot + review,14686,Computer Systems Engineers/Architects,"Research, test, or verify proper functioning of software patches and fixes.",Kiểm thử / QA / review,True,0.8703178247659219,0.47950255973788797,Copilot + review bắt buộc
Nên dùng copilot + review,14731,Web Administrators,Back up or modify applications and related data to provide for disaster recovery.,Sinh code / phát triển,True,0.8631888613998075,0.2143208871730602,Copilot + review bắt buộc
Nên dùng copilot + review,3478,Computer Systems Analysts,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",Kiểm thử / QA / review,True,0.8585252795337469,0.35283647928601036,Copilot + review bắt buộc
Nên dùng copilot + review,14638,Software Quality Assurance Analysts and Testers,"Design test plans, scenarios, scripts, or procedures.",Kiểm thử / QA / review,True,0.8548611297758569,0.40280845901938467,Copilot + review bắt buộc
Nên dùng copilot + review,14675,Computer Systems Engineers/Architects,Monitor system operation to detect potential problems.,Kiểm thử / QA / review,True,0.8459554914879831,0.6563131431356449,Copilot + review bắt buộc
Nên dùng copilot + review,14750,Web Administrators,"Test issues such as system integration, performance, and system security on a regular schedule or after any major program modifications.",Kiểm thử / QA / review,True,0.8424757242649724,0.30193713976801095,Copilot + review bắt buộc
Nên dùng copilot + review,14743,Web Administrators,"Install or configure Web server software or hardware to ensure that directory structure is well-defined, logical, and secure, and that files are named properly.",Sinh code / phát triển,True,0.8381646152048802,0.15009216376880488,Copilot + review bắt buộc
Nên dùng copilot + review,8955,Statisticians,"Identify relationships and trends in data, as well as any factors that could affect the results of research.",Task CS khác,False,0.8259514481162992,0.5454123290773739,Copilot + review bắt buộc
