Occupation (O*NET-SOC Title),task_count,code_acceleration_potential,quality_risk_need,human_complementarity_index,reskilling_priority_score,critical_task_share
Computer Systems Engineers/Architects,11,0.7604595319146246,0.5949962696331935,0.7397469832946791,0.6885595722949724,1.0
Computer and Information Research Scientists,6,0.7719258463916385,0.5646410428114194,0.7089609966425031,0.6836349527012779,0.0
Information Technology Project Managers,8,0.653904231412172,0.5671059288623351,0.7288403821160073,0.6422588631956879,0.25
Clinical Data Managers,7,0.7228918565326184,0.524569673757036,0.6246959285882348,0.6289301105750686,0.2857142857142857
Business Intelligence Analysts,6,0.7682928680682181,0.44847734543269985,0.5417268420482598,0.5997159286407971,0.16666666666666666
Statisticians,6,0.7079167856364519,0.49554927425408674,0.5530304303496801,0.5948665678309312,0.0
Biostatisticians,7,0.6405452827143827,0.522449599533269,0.5687666521013298,0.5819000712845488,0.14285714285714285
Information Security Analysts,5,0.5492734855211545,0.5592967723373844,0.6124251845876328,0.5685695606734547,1.0
Mathematicians,5,0.6588888290874753,0.4998976444969436,0.5130826414798382,0.56679036757888,0.0
Network and Computer Systems Administrators,13,0.6750791476217793,0.4759102004974623,0.5253074686565158,0.5613238377042015,1.0
Software Quality Assurance Analysts and Testers,19,0.7873206507216302,0.36433493584990717,0.49508484143884435,0.5607119468654793,1.0
Health Informatics Specialists,9,0.6713713128502435,0.4298066822794983,0.5492531841444482,0.5562941599740339,0.1111111111111111
Computer Systems Analysts,9,0.7363580932816598,0.3900355358890366,0.46272752114152405,0.5467375551592077,1.0
Computer Programmers,11,0.7735335353977679,0.3576923339256958,0.40115173108517865,0.5348936638043954,0.18181818181818182
Video Game Designers,16,0.5329387749516283,0.4738464619590464,0.5396166170669549,0.5076689591564805,0.3125
Web Developers,13,0.7557722777035262,0.3109518050490623,0.37558377697280587,0.5050379870917838,0.15384615384615385
Web Administrators,16,0.8055096387544385,0.3043834060799877,0.3572522390385655,0.5046614090135505,1.0
Database Administrators,6,0.6631850346704061,0.3260060519507681,0.31592896970783424,0.45835837447788985,1.0
Computer User Support Specialists,7,0.5399499341588045,0.3604045750934571,0.4531829262241685,0.4554173065022739,0.0
Computer Network Support Specialists,17,0.49375415788091237,0.33018334473306576,0.34864343184231594,0.417155607784056,0.35294117647058826
Bioinformatics Technicians,9,0.8514591385830763,,,,0.3333333333333333
Computer Network Architects,4,0.6139345570657162,,,,0.25
Data Warehousing Specialists,11,0.8059511573120207,,,,0.2727272727272727
Database Architects,4,0.8072443577634802,,,,0.25
Document Management Specialists,7,0.7622304174811382,,,,0.2857142857142857
Geographic Information Systems Technologists and Technicians,17,0.5763883685806561,,,,1.0
Operations Research Analysts,4,0.9246761508170471,,,,0.5
Telecommunications Engineering Specialists,7,0.3985824908681381,,,,0.2857142857142857
