sector,responses,users,occupations,predicted_automation_desire,ai_capability,predicted_human_agency,predicted_job_security,estimated_shift_score
Healthcare Support,52,11,1,3.153846153846146,4.903846153846154,2.769230769230772,2.423076923076916,2.1511949310144387
Office and Administrative Support,1039,208,15,2.9412897016361805,3.692091754892525,2.7093358999037553,2.3368623676612055,0.5138712966297612
Legal,60,18,2,2.9833333333333223,3.5194444444444444,2.6833333333333313,2.533333333333323,0.464950464209309
Sales and Related,259,59,4,2.93050193050193,4.1061776061776065,2.9729729729729786,2.247104247104245,0.3555052818146414
Business and Financial Operations,1194,265,21,3.05527638190954,3.645868230039085,2.8659966499162515,2.372696817420429,0.33574334108687826
Computer and Mathematical,1225,298,20,3.1191836734693865,3.413061224489796,2.892244897959189,2.234285714285715,0.14531879118191376
Management,681,184,12,3.0646108663729703,3.4001468428781205,2.980910425844348,2.323054331864895,-0.17915117763895405
Life Physical and Social Science,205,71,7,3.2048780487804818,3.1162601626016264,3.0048780487804927,2.5512195121951162,-0.2683549822315433
Educational Instruction and Library,113,29,2,3.0619469026548582,3.1666666666666665,2.9557522123893865,2.9823008849557415,-0.3871286463808974
Architecture and Engineering,298,85,8,3.1140939597315325,2.965324384787472,2.9530201342281894,2.5436241610738217,-0.5004519887335179
Healthcare Practitioners and Technical,51,11,1,3.0588235294117547,2.549019607843137,2.8627450980392153,2.6666666666666576,-0.8695272698558926
Arts Design Entertainment Sports and Media,547,117,10,2.5155393053016497,3.0642900670322977,2.985374771480806,2.6087751371115124,-1.6618779840501638
Production,7,5,1,3.0000000000000115,2.4285714285714284,3.714285714285739,3.285714285714299,-3.0503252654117996
