occupation,sector,responses,users,tasks,predicted_automation_desire,ai_capability,predicted_human_agency,predicted_job_security,exploratory_shift_score,reliable_for_ranking
Payroll and Timekeeping Clerks,Office and Administrative Support,69,10,13,3.151748080460382,4.572463768115942,2.5432976258933557,2.106358652182544,2.2903200795047693,True
Medical Transcriptionists,Healthcare Support,52,11,8,3.153846153846146,4.903846153846154,2.769230769230772,2.423076923076916,2.1511949310144387,True
Online Merchants,Business and Financial Operations,123,14,15,3.1785732828301443,4.403794037940379,2.6013794361783664,2.047883200535957,2.0248713632474695,True
Proofreaders and Copy Markers,Office and Administrative Support,34,10,5,3.097109546774346,4.446078431372548,2.6225344575347607,2.3216481092653285,1.8608945348806207,True
"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,102,13,14,3.109123461598738,4.431372549019608,2.7858419814191455,2.539913517670317,1.4986292466865792,True
Web Developers,Computer and Mathematical,130,26,13,3.2853166056619343,4.064102564102565,2.8129494822168937,2.1787136154488427,1.3815032124571103,True
Tax Preparers,Business and Financial Operations,51,10,9,3.211800544990456,4.228758169934641,2.8322229011851072,2.5115617827544034,1.3737800630796173,True
Compliance Officers,Business and Financial Operations,20,8,3,3.273488910299865,3.9666666666666663,2.7646539898872082,2.320209667089542,1.358884065479106,False
Search Marketing Strategists,Business and Financial Operations,107,16,14,3.224894069445963,4.08411214953271,2.7959608493586634,2.3420150943811087,1.3212877148243336,True
Supply Chain Managers,Management,44,10,9,3.393842860668113,3.6553030303030307,2.755189888030895,2.0133093869621854,1.2749997785049674,True
Photographers,Arts Design Entertainment Sports and Media,66,13,7,2.6943989371340082,4.325757575757576,2.484513224763215,2.076473928097245,1.233626788812071,True
Travel Agents,Sales and Related,72,13,8,3.0217967863653623,4.631944444444445,2.9273640709156066,2.384171735110059,1.2262550333743336,True
Web Administrators,Computer and Mathematical,58,10,11,3.1001105303462766,4.172413793103448,2.7989626378989287,1.9914423958562417,1.1628913498979137,True
"Eligibility Interviewers, Government Programs",Office and Administrative Support,18,9,4,3.0120276892828235,3.8518518518518516,2.580184856963914,2.1254621406253187,1.1257155869343487,False
Computer Programmers,Computer and Mathematical,99,25,11,3.236952123765042,3.856902356902357,2.7815630352211147,2.017687274012503,1.125376693324216,True
"Court, Municipal, and License Clerks",Office and Administrative Support,60,11,12,2.9417047697023055,3.95,2.642560492180161,2.213437366511049,0.9527807267989513,True
Customer Service Representatives,Office and Administrative Support,107,35,11,2.8686543293986366,4.221183800623053,2.7123849572355834,2.4757080318672333,0.9499333914467668,True
Loan Officers,Business and Financial Operations,54,11,8,3.0536562145964457,3.990740740740741,2.771633542720239,2.245395819862228,0.9297841244380463,True
"Securities, Commodities, and Financial Services Sales Agents",Sales and Related,42,11,8,2.9385358713286664,4.190476190476191,2.7856594399652206,1.954996648229256,0.8896758061342347,True
Management Analysts,Business and Financial Operations,20,7,4,3.0803200635382453,3.9,2.773884205299388,2.376618504261482,0.877153764515397,False
Data Entry Keyers,Office and Administrative Support,37,9,6,3.0355178557881137,3.7567567567567566,2.671774975698642,2.3823262001494894,0.8594980106763,False
Desktop Publishers,Office and Administrative Support,71,12,12,3.101074472503072,3.5892018779342725,2.6665599361858785,2.170706585778486,0.8162156759675698,True
Bioinformatics Scientists,Life Physical and Social Science,34,11,7,3.328846124131066,3.7058823529411766,2.927609219761536,2.4257374312736117,0.8105326064790374,True
Lawyers,Legal,19,8,3,2.9966585569514597,3.8157894736842106,2.6916039330204313,2.786112179158705,0.8024353227305445,False
Purchasing Managers,Management,70,22,8,3.1275519331328514,3.8523809523809525,2.8339618592534217,2.222382991415202,0.782646502982416,True
Software Quality Assurance Analysts and Testers,Computer and Mathematical,81,13,17,3.2284365370480224,3.6995884773662553,2.8897360796728666,2.2012988866960845,0.6883331698075565,True
Social Science Research Assistants,Life Physical and Social Science,27,10,5,3.2135315207665394,3.5555555555555554,2.810321939903341,2.219542746304335,0.6782332005743141,False
Database Administrators,Computer and Mathematical,36,10,6,2.9899728949558164,3.8472222222222223,2.7644084021627964,2.0951861335530833,0.6590732650118135,True
Computer User Support Specialists,Computer and Mathematical,58,16,7,3.060685523317642,3.9195402298850577,2.8634762483262834,2.3559942990951175,0.6566147874960118,True
Quality Control Systems Managers,Management,49,10,9,3.025148949137715,4.068027210884354,2.924072047437362,2.322976887400985,0.6133257779572395,True
Statisticians,Computer and Mathematical,47,16,6,3.1263192530972908,3.7163120567375882,2.870512406714415,2.2490458210126265,0.5460625702022942,True
"Energy Engineers, Except Wind and Solar",Architecture and Engineering,27,9,6,3.3759442479164012,3.074074074074074,2.7828047479170124,2.448939863048616,0.5302623072794396,False
Biofuels Production Managers,Management,24,8,6,3.2126934919946972,3.6944444444444446,2.9668825863785098,2.323685344298435,0.4763287662428745,False
Public Safety Telecommunicators,Office and Administrative Support,22,8,5,3.1483369283608016,3.272727272727273,2.704970181242254,2.7434362191142814,0.47187794613425543,False
Computer Network Support Specialists,Computer and Mathematical,45,10,9,3.0882780406249464,3.6185185185185187,2.8249457705887875,2.2870127315204547,0.4643896537601876,True
Medical and Health Services Managers,Management,60,24,6,3.1682413584783875,3.5833333333333335,2.878809185566604,2.0479402562357643,0.46330880695891685,True
Financial Quantitative Analysts,Business and Financial Operations,30,15,3,3.1446447215208644,3.5,2.8270666580233343,2.4845941848038056,0.44062226661700227,False
Legal Secretaries and Administrative Assistants,Office and Administrative Support,78,18,8,2.773776773736276,3.448717948717949,2.4966471024173726,1.9586659036224654,0.38973493787490615,True
Financial Managers,Management,51,11,9,3.1473782870129563,3.980392156862745,3.0898197032182355,2.7284329845062665,0.38506100527635706,True
Architectural and Civil Drafters,Architecture and Engineering,56,14,10,3.1669708392340468,3.488095238095238,2.877013535604308,2.559502275183988,0.358925016028418,True
Biostatisticians,Computer and Mathematical,33,12,5,3.0750494415414273,3.6666666666666665,2.8844137762488105,2.2181908002191664,0.35673092561686187,True
Judicial Law Clerks,Legal,41,10,8,2.977158229705405,3.382113821138211,2.679500616405163,2.4161919169752193,0.3085550419677609,True
Business Intelligence Analysts,Computer and Mathematical,49,17,6,3.236940328646329,3.2244897959183674,2.85242692250963,2.1351756202083556,0.26154932899040845,True
Human Resources Specialists,Business and Financial Operations,100,16,11,3.155244047219585,3.295,2.819191756287296,2.081671058499214,0.25171212979434693,True
Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support,76,10,11,3.044357233971709,3.4473684210526314,2.8060457169942423,2.3502099116233515,0.22896054317771733,True
Accountants and Auditors,Business and Financial Operations,64,23,7,2.9272389374783034,3.8151041666666665,2.9143648565330653,2.437468121649964,0.15806106915272009,True
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business and Financial Operations,76,17,9,2.9852488410094655,3.4385964912280698,2.79967291030395,2.1755566266324258,0.11532017618370245,True
Computer Systems Engineers/Architects,Computer and Mathematical,62,12,10,3.3114802513185086,3.115591397849462,2.9395751248185933,2.2838187214136583,0.09223583644864573,True
Writers and Authors,Arts Design Entertainment Sports and Media,33,12,5,2.713064312676986,3.984848484848485,2.8388988835661677,2.599578426670048,0.08905253327043193,True
Network and Computer Systems Administrators,Computer and Mathematical,74,10,10,3.1438960717080406,3.2635135135135136,2.879090106304938,2.325789561026393,0.058286362594343555,True
Human Resources Managers,Management,50,17,5,3.014877599616349,3.733333333333333,3.004081563840529,2.3284898226443698,0.039316668190027666,True
Appraisers and Assessors of Real Estate,Business and Financial Operations,80,12,12,3.1909798118266925,3.0791666666666666,2.8452073576478574,2.531436433955728,0.02429642615274518,True
Insurance Claims and Policy Processing Clerks,Office and Administrative Support,117,20,15,2.849030338169829,3.455840455840456,2.736636901893639,2.2581146484773624,0.004618298104047063,True
Advertising and Promotions Managers,Management,43,12,6,3.039081001601902,3.5038759689922476,2.939964012274427,2.1752652447286085,-0.022144865395457066,True
Budget Analysts,Business and Financial Operations,28,10,4,3.0069580490881185,3.3452380952380953,2.8743933013421494,2.3963526032581606,-0.1143141100922475,False
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales and Related,114,26,12,2.932077995037038,3.7719298245614037,3.0257093387573852,2.2139290286720366,-0.1325063684903585,True
Credit Analysts,Business and Financial Operations,42,14,6,2.929321907037336,3.7420634920634916,3.0152382313937087,2.629324354278555,-0.14751446292188963,True
Fundraisers,Business and Financial Operations,61,14,10,2.921423198931088,3.579234972677596,2.945855013303343,2.4206603820063064,-0.18721498670134662,True
Clinical Data Managers,Computer and Mathematical,44,12,7,3.0861852372881815,2.9886363636363638,2.8026916150600156,2.1162962206533895,-0.1898374878419333,True
Precision Agriculture Technicians,Life Physical and Social Science,36,10,7,3.293521227163589,3.125,3.0624780977596755,2.7701362112643486,-0.21167931632147052,True
Aerospace Engineers,Architecture and Engineering,21,9,5,3.325854818994633,2.642857142857143,2.8554443042657067,2.480967374988881,-0.2140955659540525,False
Information Security Analysts,Computer and Mathematical,45,13,5,3.1474781812389714,3.066666666666667,2.9061148722758783,2.2509084799083072,-0.21466679710865355,True
"Production, Planning, and Expediting Clerks",Office and Administrative Support,68,15,11,2.9607443155612994,2.939950980392157,2.702557985492604,2.3823361220309547,-0.26823889669229567,True
Computer Systems Analysts,Computer and Mathematical,90,23,9,2.985834398875107,3.3833333333333333,2.95325418055673,2.28646906509127,-0.2928894411077653,True
Financial Examiners,Business and Financial Operations,21,10,3,3.1742366571697356,3.2142857142857144,3.048798503832661,2.6269384127476028,-0.3201831164854692,False
Cost Estimators,Business and Financial Operations,28,11,4,2.844465641226092,3.7083333333333335,3.000520815642953,2.4958761242191536,-0.3215471469183028,False
Librarians and Media Collections Specialists,Educational Instruction and Library,47,10,9,2.87766458447601,3.570921985815603,2.9768341459055234,3.0867624859095253,-0.3542359769267723,True
Mechanical Engineers,Architecture and Engineering,35,12,6,3.2830028496806776,2.757142857142857,2.937723592461144,2.3998870567269814,-0.3591839394327984,True
Training and Development Specialists,Business and Financial Operations,72,13,10,3.044249616703669,3.2337962962962963,2.962291386629276,2.4867739722232454,-0.3627182645837229,True
Logistics Analysts,Business and Financial Operations,75,11,16,2.8025576501414964,3.3844444444444446,2.826371892996208,2.3865780572716395,-0.37109349696307076,True
Civil Engineers,Architecture and Engineering,41,14,5,2.9460670200101324,3.2439024390243905,2.8943024065971565,2.4489522986270416,-0.3939970670799425,True
Quality Control Analysts,Life Physical and Social Science,39,12,8,3.210244386010541,3.1196581196581197,3.073535527987263,2.8050574273811955,-0.40937248668431164,True
"Business Teachers, Postsecondary",Educational Instruction and Library,66,19,7,3.193178250448886,2.878787878787879,2.9407393203400165,2.9079115630644106,-0.4105522140224713,True
Treasurers and Controllers,Management,38,10,6,2.828900195697004,3.6885964912280698,3.0217038779393532,2.642242927057975,-0.42264273377814304,True
Sustainability Specialists,Business and Financial Operations,51,11,8,2.8966204383765644,3.5816993464052285,3.0326227528222134,2.5380355692611807,-0.43069042190965945,True
Computer and Information Research Scientists,Computer and Mathematical,53,19,6,3.183463870355111,2.7358490566037736,2.8829598034251087,2.1177135974716155,-0.4580565667900896,True
"News Analysts, Reporters, and Journalists",Arts Design Entertainment Sports and Media,51,11,10,2.748027348489992,3.343137254901961,2.8561013613566693,2.529386377030765,-0.5935369629029491,True
Telemarketers,Sales and Related,31,9,6,2.7017817210215296,4.0,3.138749219264407,2.44651182509143,-0.5959726536353828,False
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Office and Administrative Support,120,18,15,2.7244190797146173,3.1791666666666667,2.8027120000393255,2.4486750598554488,-0.7021877039571334,True
Credit Counselors,Business and Financial Operations,41,8,9,3.048761668958942,3.2479674796747964,3.153951338053923,2.6923399848876146,-0.7721186678321611,False
Petroleum Engineers,Architecture and Engineering,29,8,7,3.0170438596169205,2.8333333333333335,2.9228195283837786,2.599221091693306,-0.7730880325156799,False
Geographers,Life Physical and Social Science,17,7,4,2.982829638793306,3.284313725490196,3.116146213024414,2.4352660726435413,-0.7780378153467785,False
Radiologists,Healthcare Practitioners and Technical,51,11,7,3.0588235294117547,2.549019607843137,2.8627450980392153,2.6666666666666576,-0.8695272698558926,True
Clinical Research Coordinators,Management,133,29,14,2.9784174362422586,3.0037593984962405,3.087436330702266,2.438254095511933,-1.0338170998747758,True
Medical Secretaries and Administrative Assistants,Office and Administrative Support,60,10,10,2.7892535930175852,2.9472222222222224,2.916560669913203,2.577261893590594,-1.0882492460117272,True
Mechanical Engineering Technologists and Technicians,Architecture and Engineering,40,9,10,2.988859416106154,2.791666666666667,3.0375281031274026,2.474682487150532,-1.1357061966834208,False
Transportation Planners,Life Physical and Social Science,21,12,3,3.062880133341597,2.4444444444444446,2.958827037081823,2.487933728945662,-1.1953649014907595,False
Mathematicians,Computer and Mathematical,38,12,5,2.8307056436536087,2.9078947368421053,2.9998832935805204,2.4451629245973594,-1.2377657418202894,True
Molecular and Cellular Biologists,Life Physical and Social Science,31,9,5,3.169645123447932,2.435483870967742,3.075988504507539,2.510612850654734,-1.2570286526708985,False
Computer and Information Systems Managers,Management,91,22,9,3.0372563091226006,2.565934065934066,3.0534714482739487,2.2796319822794655,-1.3259673493852504,True
Technical Writers,Arts Design Entertainment Sports and Media,47,10,8,2.7821802544495053,3.017730496453901,3.070113317686109,2.622938341006753,-1.3718629271611782,True
Video Game Designers,Computer and Mathematical,63,10,13,2.980530555241755,2.582010582010582,3.034819122803728,2.4861292674142943,-1.3793874036224993,True
Personal Financial Advisors,Business and Financial Operations,50,14,5,2.8598041477021265,3.1333333333333333,3.204795137257449,2.6514040433554475,-1.3930329367130665,True
Health Informatics Specialists,Computer and Mathematical,40,10,9,2.8958920476809356,2.791666666666667,3.0770063273865356,2.460987792667732,-1.4112426371419633,True
Information Technology Project Managers,Computer and Mathematical,80,22,8,2.9621555740338428,2.604166666666667,3.0835341892634203,2.3446541982817837,-1.5018922965398434,True
"Architects, Except Landscape and Naval",Architecture and Engineering,49,10,9,2.998238591385386,2.5816326530612246,3.1844401748565496,2.8097628375170665,-1.6833153165504569,True
Regulatory Affairs Managers,Management,28,9,5,2.9054338825981696,2.4464285714285716,3.0592155187645624,2.2902261168052473,-1.7357559952858104,False
Graphic Designers,Arts Design Entertainment Sports and Media,76,14,11,2.4118633214136613,3.2171052631578947,3.0780565390166688,2.7185596803386045,-1.90944324781898,True
Producers and Directors,Arts Design Entertainment Sports and Media,67,10,11,2.5386472912883273,2.574626865671642,2.985983486719262,2.683396057933216,-2.1615236955184627,True
Public Relations Specialists,Arts Design Entertainment Sports and Media,29,10,5,2.4681705291186087,2.7586206896551726,3.100845036581234,2.589496885171467,-2.358205828705589,False
Media Technical Directors/Managers,Arts Design Entertainment Sports and Media,37,12,6,2.476548494665299,2.4054054054054053,3.01701450297676,2.4336711619931126,-2.5443118208736246,True
Power Distributors and Dispatchers,Production,7,5,2,3.0000000000000115,2.4285714285714284,3.714285714285739,3.285714285714299,-3.0503252654117996,False
Editors,Arts Design Entertainment Sports and Media,90,15,11,2.233424680601933,2.762962962962963,3.2397549292251306,2.9766358938702355,-3.137979789884531,True
Art Directors,Arts Design Entertainment Sports and Media,51,10,8,2.3552595932101013,2.1993464052287583,3.1030743484469188,2.5971231511820174,-3.2112147906266926,True
